date,snippet
2015-12-01,"On Darkness and Light, Mr Legend treats love as something far more complex than a panacea and a fount of perpetual reassurance Molly Young returns with her first solo New York Times crossword Mr Brodax, a television producer, sold the Beatles manager, Brian Epstein, on the idea of a cartoon series and struck a deal for the animated film, a psychedelic classic When a wealthy businessman set out to divorce his wife, their fortune vanished The quest to find it would reveal the depths of an offshore financial system bigger than the US economy Some apps mimic a singlelens reflex camera in options and complexity, while others unleash your creativity Spectacles, the videorecording sunglasses released by the company behind Snapchat, are among the most compelling tech gadgets of recent years Classic German Baking, Dories Cookies and more"
2015-12-02,"For love of all the cakes and cookies and treacle and tarts in childhood stories, one mother brings books to life in the kitchen A researcher who cowrote a paper in the s on a crucial artificial intelligence technique feels overlooked by todays stars in the field Sweet Home Cafs mission is a tricky one educate and nourish visitors to the new National Museum of African American History and Culture The electronics giant said it would consider using a holding company structure, a cautious response to pressure from investors Consider hiring a corporate monitor, an independent overseer who will issue regular public reports about any possible instances of conflicts We have just the person for you A wine and cheese bar finds a home in Williamsburg, Parisian restaurateurs come to the city, and other restaurant news From media pundits to tech companies, more and more people are preaching empathy  as long as it serves their own interests The wood products and timberlands company shifts its  employees to new headquarters in the Pioneer Square district, in part because of the areas recruitment value Once known for its disappearing messages, Snap, the parent of Snapchat, has moved into news and, with Spectacles, consumer devices The flameravaged Gatlinburg is a place of beauty, in a region that sorely needs it"
2015-12-03,"Damien Chazelles film infuses Hollywood movies with a vision and energy that have been sorely missing Millennials go online for their shopping, leaving a somewhat older crowd at the stores Discounters like dollar stores may benefit Surprisingly great wine region Tasmania And consider the Shenandoah Valley in Virginia and southern England too The influential loveherorhateher British artpop singer releases Before the Dawn, a set based on her  London shows An era when canned vegetables and lemon gelatin with cranberrytinted mayonnaise were extolled for their convenience and chic The startup completed a funding round that included CapitalG, the investment arm of Alphabet, and General Catalyst Partners The photographer Sylvain CouzinetJacques moved to Eden, NC, in a project centering on his renovation of an abandoned schoolhouse Mara Einsteins Black Ops Advertising is about the increasing trickery of stealth advertising and branded entertainment Unsolicited invitations sent to your calendar program are yet another way junk mailers try to get your attention, but you have some ways to dodge it"
2015-12-04,"Voluntary guidelines will be issued amid a spike in traffic fatalities in the last two years The campaign is over, but the struggle for Trumps soul has just begun Our next president, conciliatory on policy and stubborn on potential corruption Read the full text of the presidentelects meeting with reporters, editors and opinion columnists from The Times An abused rescue donkey needs more than good medical care for it to heal It also needs a friend Wednesday Worries over Thanksgiving after the election, a crisis of malnutrition among Salinas Valley farmworkers, and a lastminute holiday recipe from Bar Tartine"
2015-12-05,"Charlotte Stockdale and her longtime friend and business associate Katie Lyall have decided that the world needs a stylish smartphone cover If you find that the pictures in the Macs Photos app are starting to crowd your computers internal storage, you can relocate them to an external drive"
2015-12-06,"Dorota Trec, who was acquitted of  cruelty counts, faces fines and a maximum of two years in jail The  rabbits she has amassed since the others were seized will also be confiscated At a popup store in Manhattan, hundreds of people waited for the chance to buy  sunglasses that take second video shared wirelessly to their Snapchat app While China would suffer under a  percent tariff, it might be able to take the blow and it would certainly counterpunch"
2015-12-07,"Apple makes one product domestically the Mac Pro, in Austin, Tex But in addition to the manufacturing jobs that it has created, Apple employs , at its own Austin campus A farmers market transaction on the Upper West Side is resistant to modern technology Elected officials have promised workers nice pensions based on wishful thinking Now, localities across the United States are facing problems, and the latest to be grappling with them is Dallas Monday A debate over dead trees, a bastion of red in deepblue California, and a look back at the  occupation of Alcatraz Coloring books for grownups, with drawings inspired by travel and Champagne wishes, aim to capture the imaginations of tourists From a plugin espresso machine to an organizer for toys and gadgets, accessories to make your trip go smoother"
2015-12-08,"Rural America, even as it decries its economic weakness, has retained electoral strength beyond its numbers Heres what you need to know to start your day The tech giant probably wont bring all production to the United States, as Donald Trump has suggested, but it provides diverse opportunities for thousands of Americans, along with a ladder to climb"
2015-12-09,"John Paulson, a hedge fund billionaire, has invested in Didi Chuxing Technology exploded in  But if you blinked, you missed it The tech giants rapid growth in Austin provides a window into the vast constellation of jobs at the company and their economic impact The Bulldogs went ahead for good on a touchdown pass with  minutes  seconds left Penn and Princeton each won to claim shares of the conference title The No  Buckeyes survived a point conversion that would have given Michigan State the lead, and the No  Wolverines prevailed in a hardfought game against Indiana"
2015-12-10,"Home videos and other clips can be copied off the tablet and recorded onto a disc for watching on a standard DVD player The retailer needs more customers wandering its aisles over the holiday season and a sustainable plan to compete with Amazon New York at Its Core, at the Museum of the City of New York, considers what money, density and diversity have wrought from  to today A critical guide to performances of classical music in the New York City area The feast approaches, the todo list is long Were charging forward Are you By publishing fake news and disrupting standards of truth and civility, tech companies allowed Trump to spread his message A Christian womans identity is challenged by her love for church and another woman Rising share prices signify predictions of greater profits, but those profits could come at the expense of consumers if regulations are slashed Julie Dashs  film, Daughters of the Dust, was the first feature by an AfricanAmerican woman to have a wide release Yet many doors remained closed to her An exclusive work of fiction by Michael Chabon "
2015-12-11,"Here are some basic actions for making your personal data more difficult for attackers to access Automakers promoted their hightech bona fides and environmentally friendly conscience at the AutoMobility LA conference The bank will roll out its first advertising campaign aimed at getting individuals to replace highercost credit card debt with a lowercost personal loan Thursday California as a brand, the power of social media to rewire society, and recognizing Chicano Park Hollywoods Mr Nice Guy is honored, with speeches by Steve Martin and Emma Watson, among others The Cadenza does not offer the indulgences of German cars, but it looks rich at a nonrich price, staring at about ,"
2015-12-12,The best way to advance the interests of American workers and consumers is to negotiate better and stronger international agreements Shares of Target rose after the retailer reported strong sales and released an optimistic forecast for the holiday shopping season Students consider Who are the winners and losers in this story of economic change What policy proposals would best support workers hurt by globalization
2015-12-13,"This word has appeared in  New York Times articles in the past year Claims to the name by makers of computers, cosmetics and leather goods highlight the difficulties that big names face when dealing with Chinese trademark laws Highway deaths have surged in the last two years, and experts put much of the blame on incar use of smartphones and dashboard apps Since July, Declan Walsh has been applying the perspective of a New York Times foreign correspondent to the US election This is his final report The June referendum in which a majority of Britons voted to leave the European Union has not affected the housing market in Northern Ireland This recipe for rotkraut, a tart dish of pickled red cabbage simmered with warm spices in a dry red wine, came to The Times from Debbie Himmler of Cincinnati The dish, a nod to her grandparents German heritage, makes regular appearances on her f Mr Ocean is restless and more than happy to drape himself in shadows Here, he talks about being elusive, making music and regaining control of his career"
