date,snippet
2015-12-01,"In Drunk History, LinManuel Miranda presents a sloshed interpretation of the duel between Alexander Hamilton and Aaron Burr And Dolly Parton performs on The Voice Announcing my annual winatrip contest for a student to accompany me on a reporting trip Users will be able binge watch some shows and movies on their phones and tablets without eating up their entire data plan Una nueva app hace que comprar en lnea sea ms seguro"
2015-12-02,"Oil prices were volatile ahead of a Wednesday meeting of OPEC to discuss production cuts to bolster prices The wood products and timberlands company shifts its  employees to new headquarters in the Pioneer Square district, in part because of the areas recruitment value Fake messages claiming to be from Amazon are one of the many tactics online thieves use to try and get your financial information"
2015-12-03,"Monday Cities mull a tax on video streaming services, sanctuary cities vow to fight Donald J Trump on immigration, and a look back at a rebellion for California secession"
2015-12-04,"Even as more people shop online, millions, including two sisters from New York and New Jersey, still rely on Black Friday discounts in stores The NES Classic Edition, a smaller version of a yearold game system, is one of the years hottest gifts But the trip down memory lane isnt without headaches Chico Mendess murder in  became a turning point in Brazils environmental consciousness, and after it, a global movement to save the Amazon gained impetus Erykah Badu gets her groove on as host of the  Soul Train Awards And Season  of Divorce threatens to end on a high note In , the murder of Chico Mendes sparked a movement of environmental activists, celebrities and indigenous peoples that made saving the Brazilian rain forest an international rallying cry But what is happening there now After the murder of Chico Mendes in , a new brand of green governance developed on Brazils rain forest frontier, but political instability poses fresh threats"
2015-12-05,"The startup completed a funding round that included CapitalG, the investment arm of Alphabet, and General Catalyst Partners"
2015-12-06,"The season offers a bounty of DVDs, TVseries box sets, streamingservice subscriptions, and games for the tube watcher or NintendoPlayStation jockey in your life Lorelai and Rory go home again to Stars Hollow in Gilmore Girls A Year in the Life And the Chinese pianist Lang Lang caresses the ivories in a New York state of mind Well over , people have fled Venezuela in the last year alone, the most in more than a decade, scholars say, with the sea route posing special dangers Heres what you need to know to start your day Last weekend, a stylish uptown crowd could be spotted peering through windows and looking to replenish their wardrobes The first drop from Princes Vault arrives on a new anthology plus hear  more notable soundtracks, renditions of the national anthem, live sets and more"
2015-12-07,"Ms Lupino proves her mettle as an actress in Road House  and On Dangerous Ground  In other films, she was equally impressive as a director Special sets include David Bowie, the Grateful Dead, Lou Reed, Fleetwood Mac, hiphop, bebop, Miles Davis  even archival gospel A critical guide to productions in New York City, including shows in previews Simon McBurneys hypnotic oneman show or Cate Blanchetts daredevil acting There are also cast albums like Bright Star and A New Brain"
2015-12-08,"Turkey Day television for almost any palate, from the th edition of the Macys parade to a marathon of The Simpsons The region displays both troubling and encouraging trends in energy policy"
2015-12-09,"How in the world did nail polish become so sexist Quotation of the day for Thursday, November , "
2015-12-10,"Heres what you need to know to start your day About  pilots for the carrier, ABX Air, went on strike on Tuesday, accusing their employer of forcing them to work an excessive number of flights  looks at what happens when disaster really strikes the federal government And Usher performs on behalf of music and art in schools However youre spending this holiday weekend, we have TV and movie recommendations for you Millennials go online for their shopping, leaving a somewhat older crowd at the stores Discounters like dollar stores may benefit"
