snippet,price change,News Sent.
"Guillermo del Toros latest film is an unlikely and lyrical love story, inspired by Creature From the Black Lagoon Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated In a story that Nov , and previously moved on Nov , Nov , Nov  and Nov , about powerful men who have been accused of sexual misconduct, The Associated Press reported erroneously that celebrity chef John Besh had been accused by  w European hedge funds Bodenholm Capital and Westray Capital Management revealed they had taken short selling positions on some media companies, bets that their stock prices will fall, on the back of changing consumer habits  Office workers who fumble through dialing into conference call numbers could soon have Amazons Alexa start the meetings for them Amazoncom Inc wants to be your new executive assistant at work",neg,pos
"The album, which was released three weeks ago and withheld from streaming, is already the bestselling record of the year Express Scripts Holding sees Amazoncom Inc, which has been reported to be interested in entering the pharmacy market, as a possible partner rather than a competitor, the chief executive of the pharmacy benefit manager PBM said on Thursday on CN The latest landmark  Dow ,  reflects optimism about rising profits and lower taxes, and a seeming imperviousness to unsettling news The worlds most popular freetodownload game is only as successful as the device that houses it",neg,neg
"European Union governments could be stripped of their veto power on EU tax rules under proposals being prepared by the EUs executive arm, an unprecedented move that could unblock reforms long resisted by smaller states   Kroger Co issued an upbeat holiday forecast and betterthanexpected quarterly results, helped by aggressive discounts that lured more shoppers to its supermarkets, and shares soared as much as  percent",neg,neg
Blue Apron cofounder Matt Salzberg is stepping down as chief executive and being replaced with Chief Financial Officer Brad Dickerson,neg,neg
"Story Terrace, a Londonbased company, has writers that turn personal history and family legend into books In the new Amazon show JeanClaude Van Johnson, the seemingly washedup Muscles from Brussels gleefully sends up his action star image Our new gender editor offers insights and updates on the sexual misconduct scandals roiling our society We look at President Trumps role in the Republican tax plan and at the furor he set off by sharing extremist videos Sears Holdings Corp cut its third quarter loss by almost  million compared to a year ago, the company said on Thursday, benefiting from lower operating costs as it shut scores of Kmart and Sears outlets ",pos,neg
"Notable new seasonal releases from a wide variety of artists, including Gwen Stefani, Sia, Herb Alpert and Liz McComb And some goldenoldie reissues An Arkansas judge has dismissed a murder charge in a case involving evidence gathered by an Amazon Echo smart speaker Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated A preview of the film In the six months since it began, NYC Ferry has been more popular than forecast, luring some commuters from the crowded and delayplagued subway Companies are more susceptible than ever to our outrage and our moral suasion Mr Doroshow organized pageants in the s, before the gay and transgenderrights movements had gotten rolling He hosted them as Flawless Sabrina The internet retailer used an annual conference to show how machine learning will spur growth at Amazon Web Services, its most profitable business While standard marital advice has us studiously marking out nights to keep passion alive, theres no phrase for time spent preserving fiscal harmony As shoppers have bought TVs and toys so far this holiday season, theyve shown a desire for deals but also an inclination for some impulse spending, retail experts say",pos,pos
"The Nasdaq posted its biggest oneday drop in more than three months on Wednesday as investors fled highflying technology  stocks and shifted to banks and other pockets of the market that could benefit from improving economic conditions, lower re French supermarket chain Carrefour could be under  pressure to do a deal with the likes of Amazon, after a deal between its French rival and a British online specialist threatened to leave it trailing behind in ecommerce Microsoft is overhauling its longtime headquarters with an building construction project that will make room for another , workers The price of a single bitcoin has pierced the , level and some experts say it could rise further The worlds most popular virtual currency allows people to buy goods and services and exchange money without involving banks, credit card issue The holiday season is supposed to be about joy, giving and spending time with our favorite people But just as you might pack on a few extra pounds over the holidays, you might pack on some extra debt, too The holiday season is supposed to be about joy, giving and spending time with our favorite people But just as you might pack on a few extra pounds over the holidays, you might pack on some extra debt, too When Mark Aselstine started online wine retailer Uncorked Ventures, he thought he should offer discounts  so gave  percent off to people buying wine baskets or subscriptions for monthly deliveries But as he analyzed the sales, he didnt  Emily Steel, a media reporter for The Times, uses encrypted messaging apps and plenty of new tech But she still harbors a love for the telephone",pos,pos
"Over the last decade, a few giant corporations became an inescapable part of online life Gutting net neutrality would cement their power Amazoncom Inc on Wednesday said members of its shopping club Prime could purchase tickets to an early screening of Sony Pictures Jumanji Welcome to the Jungle in more than , US cinemas, in its latest move to court subscribers The American government has yet to compensate any of the families of the thousands of civilian casualties from the USled battle against ISIS Why Two senators have argued that big corporations are being given preferential treatment compared with passthroughs The problem that is wrong",neg,neg
"The rugged Vikings returns for its fifth season And The Marvelous Mrs Maisel arrives for streaming The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash, to create a more urban atmosphere",neg,neg
"The latest ratings show that viewers are tuning out NBCs funandgames approach and flocking to the politically engaged Stephen Colbert and Jimmy Kimmel Since The New York Times published allegations of sexual harassment and assault against Hollywood mogul Harvey Weinstein in October, multiple men in entertainment, media and politics in the US and beyond have faced allegations ranging from inapp",neg,neg
