date,snippet,price change,tweets
2016-12-01,Office workers who fumble through dialing into conference call numbers could soon have Amazons Alexa start the meetings for them Gov Jerry Brown thinks Democrats know best Also in this newsletter Activists fear Arctic drilling is a Trojan horse Amazoncom Inc wants to be your new executive assistant at work,neg,look what ill be tonight an from innovative products that failed badly office office office office work the way you want to with devices find out more in our line preparing for the remaining of shareholders fear that the company is abandoning mobile shareholders fear that the company is abandoning mobile shareholders fear that the company is abandoning mobile shareholders fear that the company is abandoning mobile d shareholders fear that the company is abandoning mobile outlines updates for excel get transform and power query ad read more up details update to gears of war read more
2016-12-02,YouTube has taken down the lectures and sermons of the Qaeda recruiter Anwar alAwlaki That will save lives,pos,windows mobile build video windows mobile build video windows mobile build video it just got real up in here offers additional guidance for moving away from encryption read more up up talking hardcore air hockey and more with brown read head in the clouds nope but computing brainy schedulers now available on quick game setup tour my kids review of the surface studio and specs price and features building using selling edition with games added a shared with me tab in word excel what interns and new grads really get paid at top tech companies surface phone specs rumors the ultimate to be released in var la ala con para en
2016-12-04,"One of Europes largest startup events opened Thursday in Finland, with , companies and , investors networking and negotiating funding, as the region looks to ramp up an industry that has long struggled to compete with the tech giants of t",neg,how lost in court over windows upgrades disable in still get it what the acquisition of means for silent re tracking refused piles pressure onto us tech giants s and to improve office office windows media center external entity vulnerability authorization manager external entity vulnerability excel starter external entity vulnerability remote office its everywhere all this new tech and a massive amount of bugs also who are these poor coders j o office windows media center external entity vulnerability line fixes battery problems para
2016-12-06,"Microsoft is overhauling its longtime headquarters with an building construction project that will make room for another , workers The price of a single bitcoin has pierced the , level and some experts say it could rise further The worlds most popular virtual currency allows people to buy goods and services and exchange money without involving banks, credit card issue Gov Jerry Brown of California will headline ClimateTECH, a new conference from The New York Times, on Wednesday night Heres how to watch and what to know Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated Finnish network equipment maker Nokia said on Wednesday that it was not in talks to buyUS network gear maker Juniper Networks Inc despite earlier reports to the contrary Amazoncom Inc on Wednesday announced its adoption of Kubernetes, a popular opensource technology, in a sign of increased competition in the cloud computing business, which Amazon Web Services has long dominated The internet retailer used an annual conference to show how machine learning will spur growth at Amazon Web Services, its most profitable business Some early Flipkart IPOFLPKN investors, employees and exemployees are selling their shares in the Indian ecommerce firm as part of a  billion investment deal agreed with Japans SoftBank Group, two people familiar with the matter said on",neg,following the failure its controversial is back with its new was the first giant to take the leap into legal heres great bill gates business quotes slides mi en el net core en docker containers studio review a for business or pleasure read more la commission respecter details the preview of relationship insights for surface pro core i ram partnering to help curb the spread of terrorist content check out one black console with controllers and cords enterprises face deal cleared by regulators opening new doors for people around the world la as el windows creators update loads up on features for it s will describe images in and for users via engines can sometimes into a culture means erasing certain colors as in s polish ad early technical preview of for server released second try at social chat bots arrives in ever wondered what was capable of join us and see
2016-12-07,"The software giant plans to invest billions of dollars in renovating its campus in Redmond, Wash, to create a more urban atmosphere Over the last decade, a few giant corporations became an inescapable part of online life Gutting net neutrality would cement their power Two decades ago, big companies wagered that they could save billions by shifting profits overseas Under Republican tax plans, those bets would pay off Two senators have argued that big corporations are being given preferential treatment compared with passthroughs The problem that is wrong",pos,the office hub will arrive on the store up all in are tested by code on clean system now connects to to manage device links read the details via releases for hub which can be used to read telemetry data read via now connects to to manage device links read the details via now connects to to manage device links read the details via a chance para um digital store releases for hub which can be used to read telemetry data read via now connects to to manage device links read the details via now connects to to manage device links read the details via now connects to to manage device links read the details via news heres whats new in windows news narrator and keyboard store call of duty infinite warfare value my wife got me a surface pro for my birthday sorry my old first thing to do is to get list the lunch allergy info like almond meal this year visits suck i would rather spend k in the store list lunch allergy info this year like almond meal visits suck rather spend k in the store
2016-12-08,"Explore the history of PC gaming and the top trends driving its growth today  A memo from the Immigration and Customs Enforcement bureau says the firms commercial products may be sending sensitive information about US infrastructure back to China, raising security concerns",neg,en micro y the latest thanks to la done deal completes billion via by via sadly my band updated version is developing the crack of death time for a new system my understanding and dynamics well its official now owns the networking site eight computer scientists have been named fellows of the association of by via what dreams are made of always open announces on partnership with but done right this time via la a e only n em ms technical support sales china final proof of surface phone announced full windows for arm everything announced at on and more by congratulations to all of our student that completed the office readiness series you guys rock
2016-12-09,Holiday shopping has already made the season merry for Amazon founder Jeff Bezos Ambiguities in the yearold Outer Space Treaty may be getting in the way of entrepreneurs seeking opportunities elsewhere in our solar system Russias communications watchdog Roskomnadzor said on Monday it would check next year if Twitter has complied with the law requiring all companies to store personal data of Russian citizens on Russian soil One of the pioneers of socalled computer vision is working on ways to deal with issues his old ideas could not solve,pos,working in retail via has found a new solution to its mobile conundrum via office officially closes its b acquisition of sol y working in retail review designs surface book case read more office free images read more sought for location system with over years required ms s act boar hunting for the dragon balls universal windows platform in the enterprise kills a contract option enterprise advantage for is dead even before it was available surface pro gets audio firmware update and nothing else for read more event the event to in twitter and join forces to combat terrorist content read more clueless gamer battlefield with terry crews on tbs via surface pro picks up small audio driver firmware update read more enhances driver safety during inclement
2016-12-13,"Some information technology companies are growing so concerned about their inability to find enough digital talent that theyre training their own Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favoured areas of the market Some information technology companies are growing so concerned about not find enough digital talent that theyre training their own US stocks set more records in quiet postholiday trading Friday as technology companies again did much of the heavy lifting Energy companies rose with the price of oil Thorn, a nonprofit founded by Demi Moore and Ashton Kutcher, helps law enforcement agencies sort through sex listings",pos,shares new training discounted certifications now on the phone charger purchased from on burst into flames on damaged bedroom officially launches more tools open letter to re via imagine connecting customers directly with c leveraging acquisition now tracking develops new eye motion tracking technology worry will live on after all new windows insider build allows you to shut down your with your voice y la i have a s will it work on metro if its not unlocked galaxy note to be disabled in recall effort go the exercise regimen it was hyped to be electronic arts c speaker for is must have to compete handicapped its buried in my phone really touch swipe press new service turns into bots patches dangerous in for x trump is the new says boss says new president will unite country through phones are out of stock in some countries
2016-12-14,"Salesforcecom Inc forecast fourthquarter profit slightly below market expectations, hurting its shares even as profits and revenues rose on the back of strong demand for its cloudbased sales and marketing software  Tech stocks remain the largest net sector exposure for equity hedge funds, which are set to deliver their strongest returns since , Goldman Sachs said on Wednesday in a note on the industrys most and least favored areas of the market The US Federal Communications Commission is poised to vote on Dec  to rescind the socalled net neutrality rules championed by former President Barack Obama",neg,new desktop update brings high support this week has free is bringing to fridges toasters and thermostats via line gigantic hero spotlight var till d jag c up s new plan is to flood your entire life with find a free cloud training in a city near you product designer up half of owners play titles never thought id see a headline like this in my lifetime the of today is a real contender to to launch first in to launch first consortium in rt is trying to keep up with tech giants like and by
2016-12-15,"Skype, Microsoft Corps internet phone call and messaging service, has disappeared from app stores in China including that of Apple Inc, indicating the latest setback for a foreign tech service in the country The rich text format for wordprocessing documents is versatile, but saving an RTF file as a PDF gives it even more compatibility",neg,offers azure blueprint for high baseline read more the surface phone could be the true killer read more its a creative career so there are less rules by via how to avoid backstage view when saving files in office read more the store is now officially cooler than the store learn how to image to with satisfying results the latest the daily hot one s console bundle by cloud huge partner opportunities in as clients demand automation read more to offer software for local governments to regulate and tax legal cannabis office two of our consultants share how to integrate web with existing virtual networks office office is looking into custom for live line upgrades without downtime with sounds like some sellout who went to work for and one got fired and died
